auth_false,net_traffic,net_traffic_auth,net_users,auth_store,train,route,routes_route,ip_count,auth_count,service_availability,vpn_ip,id,depart,arrive,train_name,p_count,count,real_route,route_arrival,station_of_departure,station_of_arrival,equipment,cron,availability,route_current,code,type,films_count,films_available,get_carriage,cont_users,actual_carriage,scan_carriage,rdl_api_version,comment_c,service_status_auth,service_status_nginx,service_status_dhcpd,service_status_ipcad,service_status_squid,source_car,auth_version,daemon_version,content_music,content_books,content_audio_book,content_films,content_press,http_codes_200,http_codes_404,http_codes_404_percent,core_version,docker_status,dockers_errors,dockers_errors_status,temp,temp_second
,,,,,000-00000,990Ч,990Ч,,,,,632397,2021-12-19T02:55:00,2021-12-28T02:38:00,,,1,,,МОСКВА-П-КАЗ,ВЛАДИВОСТОК,,,,,,BRANDED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,000-00000,989И,989И,,,,,632398,2021-12-19T18:15:00,2021-12-28T02:12:00,,,1,,,ВЛАДИВОСТОК,МОСКВА-П-КАЗ,,,,,,BRANDED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,000-00000,983Э,983Э,,,,,632239,2021-12-19T23:34:00,2021-12-30T00:09:00,,,1,,,ВЛАДИВОСТОК,МОСКВА-П-ЯР,,,,,,BRANDED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,000-00000,990Ч,990Ч,,,,,632890,2021-12-20T02:55:00,2021-12-29T02:38:00,,,1,,,МОСКВА-П-КАЗ,ВЛАДИВОСТОК,,,,,,BRANDED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,000-00000,989И,989И,,,,,632891,2021-12-20T18:15:00,2021-12-29T02:12:00,,,1,,,ВЛАДИВОСТОК,МОСКВА-П-КАЗ,,,,,,BRANDED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1549057758,298123776,203,12,098-17297,002Э,002Э,34,12,0,192.168.217.183,633065,2021-12-21T00:35:00,2021-12-27T23:03:00,098-17297,14391,1062,002Э,"2021-12-27T23:03:00 1610
2021-12-28T23:03:00 1761
2021-12-29T23:03:00 2471
2021-12-30T23:03:00 2323
2021-12-31T23:03:00 2539
2022-01-01T23:03:00 2241
2021-12-26T23:03:00 1446
",МОСКВА-П-ЯР,ВЛАДИВОСТОК,"Incarnet 1564",1,2021-12-28T13:44:05,002Э,1,SPECIAL,0,,0,0,18,0,2.4.1,32,1,1,1,1,1,set,1.4.10,1.4.10,0,0,0,0,0,73,14,0,5.15.11-1.el7.elrepo.x86_64,1,,,,
,,,,,000-00000,990Ч,990Ч,,,,,633369,2021-12-21T02:55:00,2021-12-30T02:38:00,,,1,,,МОСКВА-П-КАЗ,ВЛАДИВОСТОК,,,,,,BRANDED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,45169270526,12274068099,427,145,098-16281,001Э,001Э,64,154,0,192.168.218.114,633066,2021-12-21T16:18:00,2021-12-28T11:13:00,098-16281,11880,3440,001Э,"2021-12-30T11:13:00 1931
2021-12-31T11:13:00 2428
2021-12-25T11:13:00 1414
2021-12-26T11:13:00 1244
2021-12-27T11:13:00 1574
2021-12-28T11:13:00 1500
2021-12-29T11:13:00 1789
",ВЛАДИВОСТОК,МОСКВА-П-ЯР,"Incarnet 2742",1,2021-12-28T12:48:17,001Э,1,SPECIAL,0,,0,0,16,0,2.4.1,6,1,1,1,1,1,set,1.4.10,1.4.10,0,0,0,0,0,72,14,0,5.15.11-1.el7.elrepo.x86_64,1,,,,
,,,,,000-00000,989И,989И,,,,,633370,2021-12-21T18:15:00,2021-12-30T02:12:00,,,1,,,ВЛАДИВОСТОК,МОСКВА-П-КАЗ,,,,,,BRANDED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,67054554162,22740730307,530,251,097-16507,002Э,002Э,89,258,0,,633545,2021-12-22T00:35:00,2021-12-28T23:03:00,097-16507,12135,5102,002Э,"2021-12-27T23:03:00 1610
2021-12-28T23:03:00 1761
2021-12-29T23:03:00 2471
2021-12-23T23:03:00 1857
2021-12-24T23:03:00 1500
2021-12-25T23:03:00 1490
2021-12-26T23:03:00 1446
",МОСКВА-П-ЯР,ВЛАДИВОСТОК,"Incarnet 1577",1,2021-12-28T13:18:32,002Э,1,SPECIAL,0,,0,107,19,0,2.4.1,9,1,1,1,1,1,set,1.4.10,1.4.10,0,0,0,0,0,147,61,0,5.15.11-1.el7.elrepo.x86_64,1,,,,
